Lettera,Nome,Fonetico,Pronuncia
A,a,comeÿAncona[7][8][9],/an?kona/
B,bi,comeÿBari[10],/?bari/
,,comeÿBologna[11][12][9],/bo?lo??a/
C,ci,comeÿComo[13][14],/?k?mo/
,,comeÿCagliari[15][16],/?ka??ari/
D,di,comeÿDomodossola[17][18][9][19],/?domo?d?ssola/
E,‚,comeÿEmpoli[20][21][9],/?empoli/
F,Šffe,comeÿFirenze[22][23][9],/fi?r?n?e/
G,gi,comeÿGenova[24][25][9],/???nova/
H,…cca,semplicemente ®acca¯[26][9],/?akka/
,,comeÿhotel[27][28],/o?t?l/
I,i,comeÿImola[29][30][9],/?imola/
J,i l—nga,semplicemente ®i lunga¯[6][31][9],/?i ?lun?a/
,,comeÿjolly[32],/???lli/
,,comeÿjersey[33],/???rsi/
,,comeÿJesolo[34],/?j?zolo/
K,c…ppa,semplicemente ®cappa¯[6][31][9],/?kappa/
,,comeÿkursaal[35][36],/?kursal/
L,Šlle,comeÿLivorno[37][38][9],/li?vorno/
M,Šmme,comeÿMilano[39][40][9],/mi?lano/
N,Šnne,comeÿNapoli[41][42][9],/?napoli/
O,•,comeÿOtranto[43][44][9],/??tranto/
P,pi,comeÿPalermo[45][9],/pa?l?rmo/
,,comeÿPadova[46],/?padova/
Q,cu,,
,,comeÿQuarto[47][48][49],/?kwarto/
,,comeÿQu‚bec[50],/ke?b?k/
R,Šrre,comeÿRoma[51][52][9],/?roma/
S,Šsse,comeÿSavona[53],/sa?vona/
,,comeÿSalerno[54][9],/sa?l?rno/
,,comeÿSassari[55][1],/?sassari/
T,ti,comeÿTorino[56][9],/to?rino/
,,comeÿTaranto[57],/?taranto/
U,u,comeÿUdine[58][59][9],/?udine/
V,vu / vi,comeÿVenezia[60][61],/ve?n?t?ja/
W,vu / vi d¢ppia,semplicemente ®vu doppia¯[6][31][9],/?vu ?doppja/
,o d¢ppia vu / vi,comeÿWashington[62][63],/?w???inton/
X,ics,semplicemente ®ics¯[6][31][9][64],/?iks/
,,comeÿxilofono[65],/ksi?l?fono/
,,comeÿxeres[66],/?ks?res/
Y,psilon[67],semplicemente ®ipsilon¯[6][31][9][68],/?ipsilon/
Z,zŠta,comeÿZara[48][49][69][70][16],/??ara/
,,semplicemente ®zeta¯[6][9],/???ta/
